,Title,Match Title,Score
9754569,tênis masculino proof 2 olympikus preto/chumbo caminhada,tênis olympikus proof 2 preto/chumbo caminhada masculino,1.0000000000000002
3657363,mountain bike 29 dropp 27v freio hidraulico,mountain bike 29 dropp 27v freio hidraulico,1.0
13028973,tênis sapatênis masculino casual,sapatênis tênis masculino casual,1.0
24453264,sapatenis tenis casual masculino promoção,sapatenis masculino tenis casual promoção,1.0
41562661,tênis cross training mvp funcional academia cross mvp,tênis mvp cross training cross academia funcional mvp,1.0
25287655,tenis masculino corrida original academia barato,tenis masculino corrida academia barato original,1.0
42823617,tênis olympikus número grande 40/41 especial feminino,tênis olympikus número grande especial feminino 40/41,1.0
39100467,tênis kolosh feminino lançamento resistente,tênis feminino kolosh resistente lançamento,1.0
14284642,tênis menino infantil bibi roller 2.0 prático cadarço,tênis infantil menino bibi roller 2.0 prático cadarço,1.0
11812136,tênis freeday flip eco todo preto,tênis todo preto freeday flip eco,1.0
16932668,tênis on running cloud masculino preto branco,tênis on running cloud preto/ branco masculino,1.0
15368631,sapatênis tênis masculino couro legítimo cano alto confort,sapatênis tênis masculino couro legítimo cano alto confort,1.0
8314213,tênis nike runallday 2 feminino,tênis nike runallday feminino,1.0
32100775,tênis todo preto freeday flip eco,tênis freeday flip eco todo preto,1.0
20077104,tênis esportivo masculino camuflado preto actvitta,tênis camuflado preto esportivo masculino actvitta,1.0
34989475,tênis slip on,tênis slip on,1.0
43710667,mountain bike 29 dropp 27v freio hidraulico,mountain bike 29 dropp 27v freio hidraulico,1.0
36037914,tênis lindo,lindo tênis,1.0
11826046,tênis camuflado preto esportivo masculino actvitta,tênis esportivo masculino camuflado preto actvitta,1.0
1030558,5 pares tênis masculino leve caminhada promoção barato,3 pares tênis masculino leve caminhada promoção barato,1.0
25684449,tênis skechers go walk evolution ultra,tênis skechers m go walk evolution ultra,1.0
42689849,nike air force 1 infantil,nike air force i infantil,1.0
7363734,nike air force i infantil,nike air force 1 infantil,1.0
8458618,tênis on running cloud preto/ branco masculino,tênis on running cloud masculino preto branco,1.0
17973642,tênis sneaker feminino leve dia dia blogueira confortavel,tênis sneaker feminino blogueira confortavel leve dia dia,1.0
105410,tênis skechers m go walk evolution ultra,tênis skechers go walk evolution ultra,1.0
5015937,tv portátil tomate mtm-808 led 8 polegadas 100v/240v,tv portátil tomate mtm-808 led 8 polegadas 100v/240v,1.0
41562662,tênis cross training mvp funcional academia cross mvp,tênis mvp cross training cross academia funcional mvp,1.0
28068005,tênis infantil led personagem patrulha canina barato,tênis infantil led patrulha canina personagem barato,1.0
23847237,sapato usthemp legend temático gael bulldog francês 5,sapato usthemp legend temático gael bulldog francês 3,1.0
33559652,tenis mizuno preto dourado masculino guardian 3 original,tenis masculino mizuno guardian 3 preto dourado original,1.0
3989137,tênis olympikus saga feminino marinho,tênis olympikus saga feminino marinho,1.0
20571200,sapatênis masculino preto ferracini 7250-630a couro 2021,sapatênis masculino ferracini 7250-630a preto couro 2021,1.0
10209208,3 pares tênis masculino leve caminhada promoção barato,5 pares tênis masculino leve caminhada promoção barato,1.0
34449465,tênis nike runallday feminino,tênis nike runallday 2 feminino,1.0
38923714,tenis masculino mizuno guardian 3 preto dourado original,tenis mizuno preto dourado masculino guardian 3 original,1.0
7642060,tênis slip on,tênis slip on,1.0
10283500,tênis sneaker feminino blogueira confortavel leve dia dia,tênis sneaker feminino leve dia dia blogueira confortavel,1.0
40270329,tênis schutz,tênis schutz,1.0
6764282,tênis olympikus número grande especial feminino 40/41,tênis olympikus número grande 40/41 especial feminino,1.0
13755153,sapatênis tênis masculino couro legítimo cano alto confort,sapatênis tênis masculino couro legítimo cano alto confort,1.0
8155501,sapato usthemp legend temático gael bulldog francês 3,sapato usthemp legend temático gael bulldog francês 5,1.0
5446780,tenis infantil tênis feminino promoção brinde bolsa p pe,tenis infantil tênis feminino promoção brinde bolsa u pe,1.0
36864428,tênis mvp cross training cross academia funcional mvp,tênis cross training mvp funcional academia cross mvp,1.0
16497739,caloi explorer comp 2021 18v alivio,caloi explorer comp 18v alivio 2021,1.0
36864429,tênis mvp cross training cross academia funcional mvp,tênis mvp cross training cross academia funcional mvp,1.0
44968958,sapatênis tênis masculino casual,tênis sapatênis masculino casual,1.0
38034657,tênis infantil menino bibi roller 2.0 prático cadarço,tênis menino infantil bibi roller 2.0 prático cadarço,1.0
15144239,tênis mvp cross training cross academia funcional mvp,tênis mvp cross training cross academia funcional mvp,1.0
15144240,tênis mvp cross training cross academia funcional mvp,tênis cross training mvp funcional academia cross mvp,1.0
4580141,tv portátil tomate mtm-808 led 8 polegadas 100v/240v,tv portátil tomate mtm-808 led 8 polegadas 100v/240v,1.0
6310768,tenis masculino corrida academia barato original,tenis masculino corrida original academia barato,1.0
24019071,tênis olympikus saga feminino marinho,tênis olympikus saga feminino marinho,1.0
2900178,tênis schutz,tênis schutz,1.0
45117499,lindo tênis,tênis lindo,1.0
7727361,tenis infantil tênis feminino promoção brinde bolsa u pe,tenis infantil tênis feminino promoção brinde bolsa p pe,1.0
15516255,sapatenis masculino tenis casual promoção,sapatenis tenis casual masculino promoção,1.0
25988519,tênis feminino kolosh resistente lançamento,tênis kolosh feminino lançamento resistente,1.0
933547,tênis infantil led patrulha canina personagem barato,tênis infantil led personagem patrulha canina barato,1.0
24921974,sapatênis masculino ferracini 7250-630a preto couro 2021,sapatênis masculino preto ferracini 7250-630a couro 2021,1.0
35479790,caloi explorer comp 18v alivio 2021,caloi explorer comp 2021 18v alivio,1.0
44207740,sapato usthemp legend temático pug 4,sapato usthemp legend temático pug 3,0.9999999999999999
28843799,sapato usthemp legend temático pug 3,sapato usthemp legend temático pug 4,0.9999999999999999
30197152,tênis masculino olympikus contrast,tênis olympikus masculino contrast,0.9999999999999999
11040506,tênis olympikus masculino contrast,tênis masculino olympikus contrast,0.9999999999999999
18056169,tênis adidas terrex ax3,tênis adidas terrex ax3 feminino,0.9852499709596475
10894478,tênis adidas terrex ax3 feminino,tênis adidas terrex ax3,0.9852499709596475
35382186,mizuno prophecy x n v,tênis mizuno prophecy 3,0.9822595106095515
18356804,tênis mizuno prophecy 3,mizuno prophecy x n v,0.9822595106095515
20001942,tênis bom,bom,0.98163790344923
19811631,bom,tênis bom,0.98163790344923
8739576,tênis slip-on feminino protection activitta preto 4816100,tênis protection slip-on feminino activitta 4816100,0.9803906247892641
2719008,tênis protection slip-on feminino activitta 4816100,tênis slip-on feminino protection activitta preto 4816100,0.9803906247892641
9908716,sapatênis tênis masculino casual confortável,sapatênis casual masculino confortável,0.9774869734926013
19423002,sapatênis casual masculino confortável,sapatênis tênis masculino casual confortável,0.9774869734926013
25643210,tênis freeday brooklyn preto-original,tênis masculino preto freeday brooklyn original,0.9765107479332474
10843880,tênis masculino preto freeday brooklyn original,tênis freeday brooklyn preto-original,0.9765107479332474
2575506,tenis mizuno prophecy 8 cinza/preto/azul nº41 original,tenis mizuno prophecy 6 cinza azul nº41 original,0.9750235547975299
30861189,tenis mizuno prophecy 6 cinza azul nº41 original,tenis mizuno prophecy 8 cinza/preto/azul nº41 original,0.9750235547975299
35388827,tênis treino masculino under armour hovr apex,tênis treino feminino under armour w hovr apex 2,0.9749937779467607
31285269,tênis treino feminino under armour w hovr apex 2,tênis treino masculino under armour hovr apex,0.9749937779467607
25684450,tênis skechers go walk evolution ultra,tênis skechers go walk evolution ultra original,0.9748938867169724
105411,tênis skechers m go walk evolution ultra,tênis skechers go walk evolution ultra original,0.9748938867169724
29615515,tênis skechers go walk evolution ultra original,tênis skechers go walk evolution ultra,0.9748938867169724
29615514,tênis skechers go walk evolution ultra original,tênis skechers m go walk evolution ultra,0.9748938867169724
27590865,tênis casual modare ultraconforto,tênis modare ultraconforto casual feminino,0.9738503255091496
31581805,tênis modare ultraconforto casual feminino,tênis casual modare ultraconforto,0.9738503255091496
43292543,tênis feminino flatform mississipi q3091,tênis feminino casual flatform mississipi q3091,0.9725710315425431
33205094,tênis feminino casual flatform mississipi q3091,tênis feminino flatform mississipi q3091,0.9725710315425431
37563541,tênis masculino filum euro jogger sport,tênis filum masculino euro jogger sport preto,0.9722113629234107
28032640,tênis filum masculino euro jogger sport preto,tênis masculino filum euro jogger sport,0.9722113629234107
33809715,tênis under armour charged stamen masculino original,tênis masculino under armour charged stamen,0.9715630116092595
29725818,tênis masculino under armour charged stamen,tênis under armour charged stamen masculino original,0.9715630116092595
1263058,tênis branco feminino capricho like class monocolor,tênis feminino capricho like class monocolor,0.9713189159581925
24527719,tênis feminino capricho like class monocolor,tênis branco feminino capricho like class monocolor,0.9713189159581925
34486521,tênis olympikus sunna feminino 769,tenis feminino olympikus sunna/769,0.9703145238314063
5546154,tenis feminino olympikus sunna/769,tênis olympikus sunna feminino 769,0.9703145238314063
21115881,mountain bike spaceline vega 2021 aro 29 17 21v freios disco mecânico câmbios indexado y shimano indexado cor preto/cinza,mountain bike spaceline vega 2021 aro 29 17 21v freios disco mecânico câmbios indexado y shimano indexado cor preto/verde,0.9702396287201766
23710130,mountain bike spaceline vega 2021 aro 29 17 21v freios disco mecânico câmbios indexado y shimano indexado cor preto/verde,mountain bike spaceline vega 2021 aro 29 17 21v freios disco mecânico câmbios indexado y shimano indexado cor preto/cinza,0.9702396287201766
41187558,tênis adidas neo feminino,tênis adidas neo,0.9698277014016594
2625827,tênis adidas neo,tênis adidas neo feminino,0.9698277014016594
10028567,tênis via marte chunky feminino,tênis via marte chunky,0.9694053710355766
28844210,tênis via marte chunky,tênis via marte chunky feminino,0.9694053710355766
43590268,slip on veludo tenehi flat form,tênis slip on casual feminino flat form tenehi veludo,0.9686746013036197
33247663,tênis slip on casual feminino flat form tenehi veludo,slip on veludo tenehi flat form,0.9686746013036197
29725819,tênis masculino under armour charged stamen,tênis under armour charged stamen feminino,0.9674602579572396
14172023,tênis under armour charged stamen feminino,tênis masculino under armour charged stamen,0.9674602579572396
38517033,tenis olympikus hibisco feminino swift original,tenis olympikus feminino swift hibisco,0.9666202399386418
30987672,tenis olympikus feminino swift hibisco,tenis olympikus hibisco feminino swift original,0.9666202399386418
30611886,tênis feminino capricho branco like canvas stripe cp0759,tênis capricho like canvas stripe cp0759,0.9664330755334044
35088168,tênis capricho like canvas stripe cp0759,tênis feminino capricho branco like canvas stripe cp0759,0.9664330755334044
36175602,tênis coca-cola preto couro blend leather original,tênis coca-cola feminino blend leather couro preto,0.9637361215408182
11416587,tênis coca-cola feminino blend leather couro preto,tênis coca-cola preto couro blend leather original,0.9637361215408182
44386624,tênis feminino via marte casual,tênis casual via marte,0.9623524901239311
27370785,tênis casual via marte,tênis feminino via marte casual,0.9623524901239311
36492062,tênis casual infantil menina pink cat,tênis infantil menina pink cat,0.9619251693408117
13602932,tênis infantil menina pink cat,tênis casual infantil menina pink cat,0.9619251693408117
28526086,sapatênis feminino kolosh hades white c1285,tênis kolosh feminino hades white c1285,0.960227476339085
856645,tênis kolosh feminino hades white c1285,sapatênis feminino kolosh hades white c1285,0.960227476339085
709696,tênis filum racer all masculino corrida caminhada,tênis filum racer all feminino corrida caminhada,0.9586916799604995
4111000,tênis filum racer all feminino corrida caminhada,tênis filum racer all masculino corrida caminhada,0.9586916799604995
29714747,bicicleta feminina 12v absolute hera 29 trava guidão,bicicleta 12v feminina absolute 29 hera verde trava guidão,0.9578705042770443
8396359,bicicleta 12v feminina absolute 29 hera verde trava guidão,bicicleta feminina 12v absolute hera 29 trava guidão,0.9578705042770443
28969366,tenis dg sorrento g1 branco unissex stylo,tenis dg sorrento g1 branco star unissex stylo,0.9569147461724733
25133595,tenis dg sorrento g1 branco star unissex stylo,tenis dg sorrento g1 branco unissex stylo,0.9569147461724733
29403176,tênis botinha feminina bota treino academia fitness dança,botinha feminina bota treino academia fitness dança leve,0.9565971892857237
16884526,botinha feminina bota treino academia fitness dança leve,tênis botinha feminina bota treino academia fitness dança,0.9565971892857237
42013658,tênis mizuno jet 4 academia caminhada feminino original,tênis masculino mizuno jet 4 original caminhada academia,0.953821659110258
30338601,tênis masculino mizuno jet 4 original caminhada academia,tênis mizuno jet 4 academia caminhada feminino original,0.953821659110258
35920000,tênis nike air max 90 preto,tênis nike air max 90 feminino,0.953382039940289
22455278,tênis nike air max 90 feminino,tênis nike air max 90 preto,0.953382039940289
37117769,tênis casual feminino tratorado moleca branco,tênis feminino moleca tratorado branco,0.9531235188802063
2367801,tênis feminino moleca tratorado branco,tênis casual feminino tratorado moleca branco,0.9531235188802063
20779936,tênis skate old school preto branco mad rat original,tênis skate mad rat old school original,0.9529318713432697
19313349,tênis skate mad rat old school original,tênis skate old school preto branco mad rat original,0.9529318713432697
14642531,tênis mizuno wave frontier 12 cinza,tênis mizuno wave frontier 12 masculino cinza original,0.9527450663572214
38685558,tênis mizuno wave frontier 12 masculino cinza original,tênis mizuno wave frontier 12 cinza,0.9527450663572214
41741156,tenis infantil tênis feminino promoção brinde bolsa c tênis,tenis infantil tênis feminino promoção brinde bolsa u casual,0.9525479736937692
42217563,tenis infantil tênis feminino promoção brinde bolsa u casual,tenis infantil tênis feminino promoção brinde bolsa c tênis,0.9525479736937692
39316718,sapatênis masculino ranster casual couro,sapatênis masculino couro ranster preto casual,0.9520966381991138
36276131,sapatênis masculino couro ranster preto casual,sapatênis masculino ranster casual couro,0.9520966381991138
8759396,tenis olympikus vortex masculino,tênis olympikus vortex masculino,0.9517182531024617
12999374,tênis olympikus vortex masculino,tenis olympikus vortex masculino,0.9517182531024617
8366717,tênis modare ultraconforto,tênis casual modare ultraconforto,0.9515401870073668
27590866,tênis casual modare ultraconforto,tênis modare ultraconforto,0.9515401870073668
30195388,tenis bufalo sal pimenta,tenis bufalo sal pimenta original preto,0.9510953080725286
4731324,tenis bufalo sal pimenta original preto,tenis bufalo sal pimenta,0.9510953080725286
10262609,tênis under armour charged stamen rosa feminino,tênis under armour charged stamen feminino,0.9506062717624643
14172024,tênis under armour charged stamen feminino,tênis under armour charged stamen rosa feminino,0.9506062717624643
23777156,tênis converse all star,tênis all star converse preto,0.9504086856355789
29695378,tênis all star converse preto,tênis converse all star,0.9504086856355789
21360858,tênis adidas advantage base preto,tênis feminino adidas advantage base,0.950101571602002
32189892,tênis feminino adidas advantage base,tênis adidas advantage base preto,0.950101571602002
8677287,tênis uv muda cor sol qualidade,tênis uv muda cor sol qualidade qualidade,0.9500318104173273
26339521,tênis uv muda cor sol qualidade qualidade,tênis uv muda cor sol qualidade,0.9500318104173273
16202475,tênis olympikus esportivo combate masculino adulto 855,tênis adulto masculino olympikus combate/855,0.9490009069036193
19319632,tênis adulto masculino olympikus combate/855,tênis olympikus esportivo combate masculino adulto 855,0.9490009069036193
4837148,tênis asics gel resolution 8 clay masculino saibro- new,tênis asics gel resolution 8 clay masculino saibro,0.9488593156010114
32121139,tênis asics gel resolution 8 clay masculino saibro,tênis asics gel resolution 8 clay masculino saibro- new,0.9488593156010114
28406071,tênis adidas galaxy 5 branco original,tênis adidas galaxy 5 branco,0.9486374927823745
22203700,tênis adidas galaxy 5 branco,tênis adidas galaxy 5 branco original,0.9486374927823745
31335813,tênis rainha vl 2500 futsal volei capoeira marinho c/ branco,tênis rainha vl 2500 futsal capoeira volei marinho cinza,0.9478767287653787
15744336,tênis rainha vl 2500 futsal capoeira volei marinho cinza,tênis rainha vl 2500 futsal volei capoeira marinho c/ branco,0.9478767287653787
23929111,tênis masculino corrida esportivo caminhada academia oferta,tênis feminino caminhada esportivo corrida academia oferta,0.9461364189995577
20882123,tênis feminino caminhada esportivo corrida academia oferta,tênis masculino corrida esportivo caminhada academia oferta,0.9461364189995577
43245075,tênis corrida mizuno wave creation 22 masculino azul marinho,tênis corrida mizuno wave creation 22 masculino azul,0.9460240415174958
1520778,tênis corrida mizuno wave creation 22 masculino azul,tênis corrida mizuno wave creation 22 masculino azul marinho,0.9460240415174958
27633565,tênis puma smash v2 preto,tênis feminino puma smash v2,0.9455823921654191
14152404,tênis feminino puma smash v2,tênis puma smash v2 preto,0.9455823921654191
35657331,tênis filum recovery feminino original,tênis filum recovery masculino original,0.9451993364377717
36993239,tênis filum recovery masculino original,tênis filum recovery feminino original,0.9451993364377717
37841092,tênis filum trend 2.0 feminino,tênis filum trend 2.0 feminino original,0.9444362137541858
41093857,tênis filum trend 2.0 feminino original,tênis filum trend 2.0 feminino,0.9444362137541858
4680855,tênis ous naccarato couro all black gold essencial preto,tênis ous naccarato masculino all black gold essencial,0.9440611971303347
38053333,tênis ous naccarato masculino all black gold essencial,tênis ous naccarato couro all black gold essencial preto,0.9440611971303347
24360062,tênis coca-cola feminino blend leather,tênis coca-cola feminino blend leather couro preto,0.9429099823416301
11416588,tênis coca-cola feminino blend leather couro preto,tênis coca-cola feminino blend leather,0.9429099823416301
17413013,tênis olympikus kiss 2 feminino,tênis feminino olympikus kiss 2 original,0.9423829207514279
30658231,tênis feminino olympikus kiss 2 original,tênis olympikus kiss 2 feminino,0.9423829207514279
14505641,kit 2 pares tenis feminino academia black friday,kit 2 pares tênis masculino feminino academia black friday,0.9414798028394551
11238772,kit 2 pares tênis masculino feminino academia black friday,kit 2 pares tenis feminino academia black friday,0.9414798028394551
11053473,tênis vizzano casual feminino pelica 1214.205 original,tênis vizzano casual pelica preto 1214.205,0.9408782578228122
5030249,tênis vizzano casual pelica preto 1214.205,tênis vizzano casual feminino pelica 1214.205 original,0.9408782578228122
14172025,tênis under armour charged stamen feminino,tênis under armour charged stamen masculino original,0.9399486018332068
33809716,tênis under armour charged stamen masculino original,tênis under armour charged stamen feminino,0.9399486018332068
25017748,via marte tênis cano feminina forrado lã casual 21-1848,tênis cano via marte forrado lã feminino 21-1848,0.9398533457377021
37678144,tênis cano via marte forrado lã feminino 21-1848,via marte tênis cano feminina forrado lã casual 21-1848,0.9398533457377021
38501627,tenis masculino basquete six street fly preto,tenis masculino basquete six street fly preto brinde,0.9395819334892042
40301357,tenis masculino basquete six street fly preto brinde,tenis masculino basquete six street fly preto,0.9395819334892042
11216987,via uno tenis slip on feminino confortável 150859,tênis via uno slip on feminino 150859,0.9383299377981135
36101685,tênis via uno slip on feminino 150859,via uno tenis slip on feminino confortável 150859,0.9383299377981135
19128326,tênis pelinho infantil,tênis pelinho,0.9380646675591121
42536969,tênis pelinho,tênis pelinho infantil,0.9380646675591121
36592157,tenis mizuno wave guardian 4 feminino confortável oferta,tênis mizuno wave guardian 4 masculino confortável oferta,0.9372777509176555
42930859,tênis mizuno wave guardian 4 masculino confortável oferta,tenis mizuno wave guardian 4 feminino confortável oferta,0.9372777509176555
42459422,tênis olympikus 195g ultraleve masculino,tênis olympikus 195g ultraleve masculino preto original,0.9360980005854299
6354166,tênis olympikus 195g ultraleve masculino preto original,tênis olympikus 195g ultraleve masculino,0.9360980005854299
42180233,tênis feminino infantil camurça molekinha 21631008,tênis feminino infantil camurça menina molekinha 21631008,0.9356442979146261
9032941,tênis feminino infantil camurça menina molekinha 21631008,tênis feminino infantil camurça molekinha 21631008,0.9356442979146261
26189610,tenis olympikus diffuse origem masculino,tenis olympikus diffuse origem feminino original,0.9352981623826133
12826239,tenis olympikus diffuse origem feminino original,tenis olympikus diffuse origem masculino,0.9352981623826133
41720282,tênis mizuno wave prophecy x original,mizuno wave prophecy 9,0.9346659170467799
10506364,mizuno wave prophecy 9,tênis mizuno wave prophecy x original,0.9346659170467799
19227945,tênis sapatilha híbrido náutica aquática bad fish,tênis sapatilha híbrido náutica aquática 41 preto bad fish,0.9342674877138282
3089419,tênis sapatilha híbrido náutica aquática 41 preto bad fish,tênis sapatilha híbrido náutica aquática bad fish,0.9342674877138282
33152019,tênis branco confortável,tênis feminino branco confortável,0.9336405915190602
221817,tênis branco feminino confortável,tênis branco confortável,0.9336405915190602
41490660,tênis feminino branco confortável,tênis branco confortável,0.9336405915190602
33152020,tênis branco confortável,tênis branco feminino confortável,0.9336405915190602
31465636,tenis infantil tênis infantil feminino brinde bolsa plataf,tenis infantil tênis feminino promoção brinde bolsa u plataf,0.9327551708679943
37265652,tenis infantil tênis feminino promoção brinde bolsa u plataf,tenis infantil tênis infantil feminino brinde bolsa plataf,0.9327551708679943
35862181,tenis infantil tênis feminino promoção brinde bolsa l adquir,tenis infantil tênis infantil feminino brinde bolsa b adquir,0.9327551708679943
39298878,tenis infantil tênis infantil feminino brinde bolsa b adquir,tenis infantil tênis feminino promoção brinde bolsa l adquir,0.9327551708679943
35902874,sapatilha absolute nero mtb 2021 preto vermelho,sapatilha absolute nero mtb preto vermelho 2021 ciclismo,0.9324357802153067
36222483,sapatilha absolute nero mtb preto vermelho 2021 ciclismo,sapatilha absolute nero mtb 2021 preto vermelho,0.9324357802153067
42211388,tênis ortopé infantil sport baby,tênis infantil ortopé sport baby rosa,0.9322448217948709
32245428,tênis infantil ortopé sport baby rosa,tênis ortopé infantil sport baby,0.9322448217948709
6397676,tênis new balance,tênis new balance preto,0.9318693413063353
15974863,tênis new balance preto,tênis new balance,0.9318693413063353
24035269,tênis mizuno guardian 3 masculino preto dourado,tenis mizuno preto dourado masculino guardian 3 original,0.9316501768129901
24035270,tênis mizuno guardian 3 masculino preto dourado,tenis masculino mizuno guardian 3 preto dourado original,0.9316501768129901
38923715,tenis masculino mizuno guardian 3 preto dourado original,tênis mizuno guardian 3 masculino preto dourado,0.9316501768129901
33559653,tenis mizuno preto dourado masculino guardian 3 original,tênis mizuno guardian 3 masculino preto dourado,0.9316501768129901
25132944,sapatilha mtb bike avva preta 3 velcro,sapatilha mtb bike avva preta 3 velcro ciclismo,0.9306718845533719
16389301,sapatilha mtb bike avva preta 3 velcro ciclismo,sapatilha mtb bike avva preta 3 velcro,0.9306718845533719
37841093,tênis filum trend 2.0 feminino,tênis feminino filum trend branco,0.9305794495622878
37985367,tênis feminino filum trend branco,tênis filum trend 2.0 feminino,0.9305794495622878
2619192,tênis molekinho confortável infantil baixinho casual,tênis molekinho baixinho casual infantil,0.9302050040260222
27147138,tênis molekinho baixinho casual infantil,tênis molekinho confortável infantil baixinho casual,0.9302050040260222
19703391,bicicleta infantil nathor aro 12 charm,bicicleta infantil aro 12 charm feminina nathor,0.9293577176344667
44696341,bicicleta infantil aro 12 charm nathor brinde,bicicleta infantil nathor aro 12 charm,0.9293577176344667
17167153,bicicleta infantil aro 12 charm feminina nathor,bicicleta infantil nathor aro 12 charm,0.9293577176344667
19703390,bicicleta infantil nathor aro 12 charm,bicicleta infantil aro 12 charm nathor brinde,0.9293577176344667
22152003,tênis m.officer masculino,tênis m. officer branco masculino,0.9282748882601771
23538050,tênis m. officer branco masculino,tênis m.officer masculino,0.9282748882601771
19416031,tênis adulto slip on polo farm casual masculino calce facil,tênis adulto polo farm casual masculino calce facil,0.9279503977229412
36155825,tênis adulto polo farm casual masculino calce facil,tênis adulto slip on polo farm casual masculino calce facil,0.9279503977229412
13698832,tênis hock tempus black/white original,tênis hock skate tempus black white original,0.9278230071921699
7399885,tênis hock skate tempus black white original,tênis hock tempus black/white original,0.9278230071921699
4632446,tênis casual feminino like plataform capricho,tenis capricho like plataform,0.9276118201077063
21571916,tenis capricho like plataform,tênis casual feminino like plataform capricho,0.9276118201077063
10028568,tênis via marte chunky feminino,tênis chunky feminino via marte branco,0.9274290585388486
30101672,tênis chunky feminino via marte branco,tênis via marte chunky feminino,0.9274290585388486
22373380,tênis hock solo black/white original frete grátis,tênis hock solo black/white original frete,0.9270855570032748
33378838,tênis hock solo black/white original frete,tênis hock solo black/white original frete grátis,0.9270855570032748
12025573,tenis columbia firecamp remesh,tênis columbia firecamp remesh masculino azul,0.9270378516544945
44754728,tênis columbia firecamp remesh masculino azul,tenis columbia firecamp remesh,0.9270378516544945
3834416,tênis masculino sapatenis branco couro rafarillo casual,tênis masculino sapatenis branco rafarillo casual couro leve,0.926946849332223
15929916,tênis masculino sapatenis branco rafarillo casual couro leve,tênis masculino sapatenis branco couro rafarillo casual,0.926946849332223
22416330,tênis adidas grand court base masculino marinho,tênis adidas grand court base masculino casual,0.9268742378749619
32755249,tênis adidas grand court base masculino casual,tênis adidas grand court base masculino marinho,0.9268742378749619
8366718,tênis modare ultraconforto,tênis modare ultraconforto casual feminino,0.9266577208521609
31581806,tênis modare ultraconforto casual feminino,tênis modare ultraconforto,0.9266577208521609
8587046,tênis masculino adidas galaxy 5 preto branco,tênis adidas galaxy 5 branco,0.92600253424218
22203701,tênis adidas galaxy 5 branco,tênis masculino adidas galaxy 5 preto branco,0.92600253424218
6228217,tênis under armour charged bandit 6 azul feminino,tênis under armour charged bandit masculino,0.9255115404432207
30234609,tênis under armour charged bandit masculino,tênis under armour charged bandit 6 azul feminino,0.9255115404432207
6732118,bicicleta south legend 21v aro 29 pt/lrj brilho,bicicleta south legend 21v aro 29 pt/az/lrj brilho,0.9252328036069152
